action_index,dt,frustration
0,0,0.100000
1,0,0.100000
2,0,0.150000
3,0,0.200000
4,0,0.200000
5,0,0.250000
6,0,0.250000
7,0,0.250000
8,0,0.350000
9,0,0.450000
10,0,0.565000
11,0,0.680000
12,0,0.795000
13,0,0.852500
14,0,0.910000
15,0,0.960000
16,0,1.000000
17,0,1.000000
18,0,1.000000
19,0,1.000000
20,0,1.000000
21,0,1.000000
22,0,1.000000
23,0,1.000000
24,0,1.000000
25,0,1.000000
26,0,1.000000
27,0,1.000000
28,0,1.000000
29,0,1.000000
30,0,1.000000
31,0,1.000000
32,0,1.000000
33,0,1.000000
34,0,1.000000
35,0,1.000000
36,0,1.000000
37,0,1.000000
38,0,1.000000
39,0,1.000000
40,0,1.000000
41,0,1.000000
42,0,1.000000
43,0,1.000000
44,0,1.000000
45,0,1.000000
46,0,1.000000
47,0,1.000000
48,0,1.000000
49,0,1.000000
50,0,1.000000
51,0,1.000000
52,0,1.000000
53,0,1.000000
54,0,1.000000
55,0,1.000000
56,0,1.000000
57,0,1.000000
58,0,1.000000
0,1,0.100000
1,1,0.100000
2,1,0.150000
3,1,0.199769
4,1,0.199310
5,1,0.248852
6,1,0.248165
7,1,0.247482
8,1,0.346802
9,1,0.445665
10,1,0.544309
11,1,0.642568
12,1,0.740441
13,1,0.787930
14,1,0.834759
15,1,0.881371
16,1,0.927769
17,1,0.973952
18,1,1.000000
19,1,1.000000
20,1,1.000000
21,1,1.000000
22,1,1.000000
23,1,1.000000
24,1,1.000000
25,1,1.000000
26,1,1.000000
27,1,1.000000
28,1,1.000000
29,1,0.995851
30,1,1.000000
31,1,0.995851
32,1,0.991721
33,1,0.987609
34,1,0.983517
35,1,0.979444
36,1,1.000000
37,1,1.000000
38,1,1.000000
39,1,0.995851
40,1,1.000000
41,1,1.000000
42,1,1.000000
43,1,1.000000
44,1,0.995851
45,1,1.000000
46,1,0.995851
47,1,1.000000
48,1,1.000000
49,1,1.000000
50,1,1.000000
51,1,1.000000
52,1,1.000000
53,1,1.000000
54,1,1.000000
55,1,1.000000
56,1,0.995851
57,1,1.000000
58,1,0.995851
0,5,0.100000
1,5,0.100000
2,5,0.150000
3,5,0.198858
4,5,0.196600
5,5,0.244394
6,5,0.241096
7,5,0.237873
8,5,0.334724
9,5,0.429363
10,5,0.522958
11,5,0.614732
12,5,0.704722
13,5,0.742962
14,5,0.778276
15,5,0.812784
16,5,0.846504
17,5,0.879454
18,5,0.911651
19,5,0.943113
20,5,0.973857
21,5,1.000000
22,5,1.000000
23,5,1.000000
24,5,1.000000
25,5,1.000000
26,5,1.000000
27,5,1.000000
28,5,1.000000
29,5,0.979444
30,5,1.000000
31,5,0.979444
32,5,0.959357
33,5,0.939730
34,5,0.920550
35,5,0.901809
36,5,0.933496
37,5,0.964458
38,5,0.994714
39,5,0.974279
40,5,1.000000
41,5,1.000000
42,5,1.000000
43,5,1.000000
44,5,0.979444
45,5,1.000000
46,5,0.979444
47,5,1.000000
48,5,1.000000
49,5,1.000000
50,5,1.000000
51,5,1.000000
52,5,1.000000
53,5,1.000000
54,5,1.000000
55,5,1.000000
56,5,0.979444
57,5,1.000000
58,5,0.979444
0,15,0.100000
1,15,0.100000
2,15,0.150000
3,15,0.196652
4,15,0.190179
5,15,0.234140
6,15,0.225157
7,15,0.216776
8,15,0.308956
9,15,0.394963
10,15,0.478086
11,15,0.556454
12,15,0.630338
13,15,0.649994
14,15,0.663163
15,15,0.675449
16,15,0.686913
17,15,0.697609
18,15,0.707589
19,15,0.716901
20,15,0.725589
21,15,0.733695
22,15,0.741258
23,15,0.748315
24,15,0.754899
25,15,0.761043
26,15,0.766775
27,15,0.772123
28,15,0.877113
29,15,0.825072
30,15,0.826516
31,15,0.777863
32,15,0.732469
33,15,0.690114
34,15,0.650596
35,15,0.608411
36,15,0.614457
37,15,0.630006
38,15,0.644513
39,15,0.608048
40,15,0.624026
41,15,0.638934
42,15,0.652843
43,15,0.665821
44,15,0.627929
45,15,0.642575
46,15,0.606241
47,15,0.622339
48,15,0.737360
49,15,0.744678
50,15,0.751506
51,15,0.757876
52,15,0.863820
53,15,0.862669
54,15,0.861596
55,15,0.860594
56,15,0.809659
57,15,0.812136
58,15,0.764446
0,30,0.100000
1,30,0.100000
2,30,0.150000
3,30,0.193528
4,30,0.181420
5,30,0.220881
6,30,0.205233
7,30,0.191610
8,30,0.279751
9,30,0.356483
10,30,0.427973
11,30,0.491516
12,30,0.547996
13,30,0.540003
14,30,0.533045
15,30,0.526988
16,30,0.521714
17,30,0.517124
18,30,0.513127
19,30,0.509648
20,30,0.506619
21,30,0.503983
22,30,0.501687
23,30,0.499689
24,30,0.497950
25,30,0.496435
26,30,0.495117
27,30,0.493969
28,30,0.592970
29,30,0.529156
30,30,0.523602
31,30,0.468767
32,30,0.421030
33,30,0.379473
34,30,0.343295
35,30,0.307442
36,30,0.326872
37,30,0.347504
38,30,0.365465
39,30,0.331100
40,30,0.351185
41,30,0.368669
42,30,0.383890
43,30,0.397140
44,30,0.358676
45,30,0.375190
46,30,0.339567
47,30,0.358555
48,30,0.475085
49,30,0.476531
50,30,0.477789
51,30,0.478885
52,30,0.579838
53,30,0.567723
54,30,0.557177
55,30,0.547996
56,30,0.490003
57,30,0.489517
58,30,0.439094
0,60,0.100000
1,60,0.100000
2,60,0.150000
3,60,0.187893
4,60,0.166610
5,60,0.200481
6,60,0.176151
7,60,0.157711
8,60,0.243737
9,60,0.308932
10,60,0.365065
11,60,0.400882
12,60,0.428026
13,60,0.398597
14,60,0.376294
15,60,0.359392
16,60,0.346582
17,60,0.336874
18,60,0.329517
19,60,0.323942
20,60,0.319716
21,60,0.316514
22,60,0.314087
23,60,0.312247
24,60,0.310853
25,60,0.309797
26,60,0.308996
27,60,0.308390
28,60,0.407930
29,60,0.333367
30,60,0.326859
31,60,0.271927
32,60,0.230296
33,60,0.198746
34,60,0.174836
35,60,0.156715
36,60,0.192982
37,60,0.220467
38,60,0.241297
39,60,0.207083
40,60,0.231154
41,60,0.249396
42,60,0.263221
43,60,0.273698
44,60,0.231639
45,60,0.249764
46,60,0.213500
47,60,0.236017
48,60,0.353081
49,60,0.341800
50,60,0.333250
51,60,0.326770
52,60,0.421860
53,60,0.393924
54,60,0.372753
55,60,0.356708
56,60,0.294548
57,60,0.297440
58,60,0.249632
0,150,0.100000
1,150,0.100000
2,150,0.150000
3,150,0.175000
4,150,0.137500
5,150,0.168750
6,150,0.134375
7,150,0.117188
8,150,0.208594
9,150,0.254297
10,150,0.277148
11,150,0.288574
12,150,0.294287
13,150,0.247144
14,150,0.223572
15,150,0.211786
16,150,0.205893
17,150,0.202946
18,150,0.201473
19,150,0.200737
20,150,0.200368
21,150,0.200184
22,150,0.200092
23,150,0.200046
24,150,0.200023
25,150,0.200012
26,150,0.200006
27,150,0.200003
28,150,0.300001
29,150,0.200001
30,150,0.200000
31,150,0.150000
32,150,0.125000
33,150,0.112500
34,150,0.106250
35,150,0.103125
36,150,0.151563
37,150,0.175781
38,150,0.187891
39,150,0.143945
40,150,0.171973
41,150,0.185986
42,150,0.192993
43,150,0.196497
44,150,0.148248
45,150,0.174124
46,150,0.137062
47,150,0.168531
48,150,0.284266
49,150,0.242133
50,150,0.221066
51,150,0.210533
52,150,0.305267
53,150,0.252633
54,150,0.226317
55,150,0.213158
56,150,0.156579
57,150,0.178290
58,150,0.139145
0,300,0.100000
1,300,0.100000
2,300,0.150000
3,300,0.162500
4,300,0.115625
5,300,0.153906
6,300,0.113477
7,300,0.103369
8,300,0.200842
9,300,0.225211
10,300,0.231303
11,300,0.232826
12,300,0.233206
13,300,0.183302
14,300,0.170825
15,300,0.167706
16,300,0.166927
17,300,0.166732
18,300,0.166683
19,300,0.166671
20,300,0.166668
21,300,0.166667
22,300,0.166667
23,300,0.166667
24,300,0.166667
25,300,0.166667
26,300,0.166667
27,300,0.166667
28,300,0.266667
29,300,0.141667
30,300,0.160417
31,300,0.115104
32,300,0.103776
33,300,0.100944
34,300,0.100236
35,300,0.100059
36,300,0.150015
37,300,0.162504
38,300,0.165626
39,300,0.116406
40,300,0.154102
41,300,0.163525
42,300,0.165881
43,300,0.166470
44,300,0.116618
45,300,0.154154
46,300,0.113539
47,300,0.153385
48,300,0.263346
49,300,0.190837
50,300,0.172709
51,300,0.168177
52,300,0.267044
53,300,0.191761
54,300,0.172940
55,300,0.168235
56,300,0.117059
57,300,0.154265
58,300,0.113566
0,600,0.100000
1,600,0.100000
2,600,0.150000
3,600,0.153125
4,600,0.103320
5,600,0.150208
6,600,0.103138
7,600,0.100196
8,600,0.200012
9,600,0.206251
10,600,0.206641
11,600,0.206665
12,600,0.206667
13,600,0.156667
14,600,0.153542
15,600,0.153346
16,600,0.153334
17,600,0.153333
18,600,0.153333
19,600,0.153333
20,600,0.153333
21,600,0.153333
22,600,0.153333
23,600,0.153333
24,600,0.153333
25,600,0.153333
26,600,0.153333
27,600,0.153333
28,600,0.253333
29,600,0.109583
30,600,0.150599
31,600,0.103162
32,600,0.100198
33,600,0.100012
34,600,0.100001
35,600,0.100000
36,600,0.150000
37,600,0.153125
38,600,0.153320
39,600,0.103333
40,600,0.150208
41,600,0.153138
42,600,0.153321
43,600,0.153333
44,600,0.103333
45,600,0.150208
46,600,0.103138
47,600,0.150196
48,600,0.253137
49,600,0.159571
50,600,0.153723
51,600,0.153358
52,600,0.253335
53,600,0.159583
54,600,0.153724
55,600,0.153358
56,600,0.103335
57,600,0.150208
58,600,0.103138
