trajectory,dt,a6_sustained_frustration,t3_saturation_entry_net
12907,0,11,1
12907,1,11,1
12907,5,10,1
12907,15,0,0
12907,30,0,0
12907,60,0,0
12907,150,0,0
12907,300,0,0
12907,600,0,0
13033,0,47,1
13033,1,47,1
13033,5,47,1
13033,15,26,2
13033,30,0,0
13033,60,0,0
13033,150,0,0
13033,300,0,0
13033,600,0,0
13236,0,23,1
13236,1,22,1
13236,5,16,1
13236,15,3,1
13236,30,0,0
13236,60,0,0
13236,150,0,0
13236,300,0,0
13236,600,0,0
13398,0,41,1
13398,1,41,1
13398,5,15,2
13398,15,0,0
13398,30,0,0
13398,60,0,0
13398,150,0,0
13398,300,0,0
13398,600,0,0
13453,0,18,1
13453,1,18,1
13453,5,18,1
13453,15,12,1
13453,30,3,1
13453,60,0,0
13453,150,0,0
13453,300,0,0
13453,600,0,0
