trajectory,condition,sequence,action_index,dt,frustration
astropy-13033,C3,seq4,0,0.000,0.100000
astropy-13033,C3,seq4,1,1.990,0.100000
astropy-13033,C3,seq4,2,1.338,0.150000
astropy-13033,C3,seq4,3,0.973,0.199776
astropy-13033,C3,seq4,4,1.342,0.199159
astropy-13033,C3,seq4,5,1.068,0.248671
astropy-13033,C3,seq4,6,1.025,0.247969
astropy-13033,C3,seq4,7,1.200,0.247151
astropy-13033,C3,seq4,8,1.253,0.346301
astropy-13033,C3,seq4,9,1.391,0.444723
astropy-13033,C3,seq4,10,1.585,0.542583
astropy-13033,C3,seq4,11,1.170,0.640554
astropy-13033,C3,seq4,12,1.019,0.738394
astropy-13033,C3,seq4,13,0.988,0.785920
astropy-13033,C3,seq4,14,1.280,0.831876
astropy-13033,C3,seq4,15,1.780,0.875882
astropy-13033,C3,seq4,16,2.366,0.917447
astropy-13033,C3,seq4,17,1.277,0.962636
astropy-13033,C3,seq4,18,1.057,1.000000
astropy-13033,C3,seq4,19,1.441,1.000000
astropy-13033,C3,seq4,20,1.765,1.000000
astropy-13033,C3,seq4,21,1.652,1.000000
astropy-13033,C3,seq4,22,1.627,1.000000
astropy-13033,C3,seq4,23,2.288,1.000000
astropy-13033,C3,seq4,24,15.872,0.986355
astropy-13033,C3,seq4,25,3.567,1.000000
astropy-13033,C3,seq4,26,3.610,1.000000
astropy-13033,C3,seq4,27,1.875,1.000000
astropy-13033,C3,seq4,28,1.586,1.000000
astropy-13033,C3,seq4,29,1.528,0.993667
astropy-13033,C3,seq4,30,2.162,1.000000
astropy-13033,C3,seq4,31,15.055,0.939516
astropy-13033,C3,seq4,32,1.990,0.931831
astropy-13033,C3,seq4,33,1.338,0.926703
astropy-13033,C3,seq4,34,0.973,0.922996
astropy-13033,C3,seq4,35,1.342,0.917910
astropy-13033,C3,seq4,36,1.068,0.963884
astropy-13033,C3,seq4,37,1.025,1.000000
astropy-13033,C3,seq4,38,1.200,1.000000
astropy-13033,C3,seq4,39,1.253,0.994804
astropy-13033,C3,seq4,40,1.391,1.000000
astropy-13033,C3,seq4,41,1.585,1.000000
astropy-13033,C3,seq4,42,1.170,1.000000
astropy-13033,C3,seq4,43,1.019,1.000000
astropy-13033,C3,seq4,44,0.988,0.995899
astropy-13033,C3,seq4,45,1.280,1.000000
astropy-13033,C3,seq4,46,1.780,0.992630
astropy-13033,C3,seq4,47,2.366,1.000000
astropy-13033,C3,seq4,48,1.277,1.000000
astropy-13033,C3,seq4,49,1.057,1.000000
astropy-13033,C3,seq4,50,1.441,1.000000
astropy-13033,C3,seq4,51,1.765,1.000000
astropy-13033,C3,seq4,52,1.652,1.000000
astropy-13033,C3,seq4,53,1.627,1.000000
astropy-13033,C3,seq4,54,2.288,1.000000
astropy-13033,C3,seq4,55,15.872,0.986355
astropy-13033,C3,seq4,56,3.567,0.971864
astropy-13033,C3,seq4,57,3.610,1.000000
astropy-13033,C3,seq4,58,1.875,0.992235
astropy-13033,C4,seq4,0,0.000,0.100000
astropy-13033,C4,seq4,1,27.625,0.100000
astropy-13033,C4,seq4,2,18.574,0.150000
astropy-13033,C4,seq4,3,13.499,0.196976
astropy-13033,C4,seq4,4,18.624,0.188980
astropy-13033,C4,seq4,5,14.820,0.233090
astropy-13033,C4,seq4,6,14.221,0.224625
astropy-13033,C4,seq4,7,16.657,0.215392
astropy-13033,C4,seq4,8,17.393,0.306481
astropy-13033,C4,seq4,9,19.313,0.388852
astropy-13033,C4,seq4,10,22.006,0.464933
astropy-13033,C4,seq4,11,16.239,0.542383
astropy-13033,C4,seq4,12,14.147,0.618473
astropy-13033,C4,seq4,13,13.719,0.641273
astropy-13033,C4,seq4,14,17.764,0.648616
astropy-13033,C4,seq4,15,24.701,0.639437
astropy-13033,C4,seq4,16,32.835,0.613495
astropy-13033,C4,seq4,17,17.731,0.623099
astropy-13033,C4,seq4,18,14.673,0.638807
astropy-13033,C4,seq4,19,20.007,0.641227
astropy-13033,C4,seq4,20,24.499,0.633296
astropy-13033,C4,seq4,21,22.928,0.629683
astropy-13033,C4,seq4,22,22.580,0.627201
astropy-13033,C4,seq4,23,31.759,0.605240
astropy-13033,C4,seq4,24,220.308,0.327545
astropy-13033,C4,seq4,25,49.514,0.319902
astropy-13033,C4,seq4,26,50.109,0.324449
astropy-13033,C4,seq4,27,26.029,0.349012
astropy-13033,C4,seq4,28,22.019,0.474922
astropy-13033,C4,seq4,29,21.213,0.439914
astropy-13033,C4,seq4,30,30.013,0.445895
astropy-13033,C4,seq4,31,208.974,0.231693
astropy-13033,C4,seq4,32,27.625,0.213712
astropy-13033,C4,seq4,33,18.574,0.203024
astropy-13033,C4,seq4,34,13.499,0.195892
astropy-13033,C4,seq4,35,18.624,0.186856
astropy-13033,C4,seq4,36,14.820,0.231107
astropy-13033,C4,seq4,37,14.221,0.272768
astropy-13033,C4,seq4,38,16.657,0.309969
astropy-13033,C4,seq4,39,17.393,0.293754
astropy-13033,C4,seq4,40,19.313,0.327211
astropy-13033,C4,seq4,41,22.006,0.355242
astropy-13033,C4,seq4,42,16.239,0.386790
astropy-13033,C4,seq4,43,14.147,0.418642
astropy-13033,C4,seq4,44,13.719,0.399068
astropy-13033,C4,seq4,45,17.764,0.425499
astropy-13033,C4,seq4,46,24.701,0.390388
astropy-13033,C4,seq4,47,32.835,0.399507
astropy-13033,C4,seq4,48,17.731,0.525945
astropy-13033,C4,seq4,49,14.673,0.548022
astropy-13033,C4,seq4,50,20.007,0.558458
astropy-13033,C4,seq4,51,24.499,0.559387
astropy-13033,C4,seq4,52,22.928,0.663204
astropy-13033,C4,seq4,53,22.580,0.657401
astropy-13033,C4,seq4,54,31.759,0.631318
astropy-13033,C4,seq4,55,220.308,0.336967
astropy-13033,C4,seq4,56,49.514,0.282144
astropy-13033,C4,seq4,57,50.109,0.294495
astropy-13033,C4,seq4,58,26.029,0.272454
astropy-13398,C3,seq4,0,0.000,0.100000
astropy-13398,C3,seq4,1,1.990,0.100000
astropy-13398,C3,seq4,2,1.338,0.100000
astropy-13398,C3,seq4,3,0.973,0.150000
astropy-13398,C3,seq4,4,1.342,0.149691
astropy-13398,C3,seq4,5,1.068,0.149446
astropy-13398,C3,seq4,6,1.025,0.149213
astropy-13398,C3,seq4,7,1.200,0.148941
astropy-13398,C3,seq4,8,1.253,0.198658
astropy-13398,C3,seq4,9,1.391,0.348026
astropy-13398,C3,seq4,10,1.585,0.346215
astropy-13398,C3,seq4,11,1.170,0.344888
astropy-13398,C3,seq4,12,1.019,0.443737
astropy-13398,C3,seq4,13,0.988,0.542171
astropy-13398,C3,seq4,14,1.280,0.639954
astropy-13398,C3,seq4,15,1.780,0.736193
astropy-13398,C3,seq4,16,2.366,0.830309
astropy-13398,C3,seq4,17,1.277,0.826654
astropy-13398,C3,seq4,18,1.057,0.823113
astropy-13398,C3,seq4,19,1.441,0.818313
astropy-13398,C3,seq4,20,1.765,0.812478
astropy-13398,C3,seq4,21,1.652,0.857061
astropy-13398,C3,seq4,22,1.627,0.851391
astropy-13398,C3,seq4,23,2.288,0.843489
astropy-13398,C3,seq4,24,15.872,0.790911
astropy-13398,C3,seq4,25,3.567,0.779616
astropy-13398,C3,seq4,26,3.610,0.768373
astropy-13398,C3,seq4,27,1.875,0.762607
astropy-13398,C3,seq4,28,1.586,0.757767
astropy-13398,C3,seq4,29,1.528,0.853138
astropy-13398,C3,seq4,30,2.162,0.845651
astropy-13398,C3,seq4,31,15.055,0.795540
astropy-13398,C3,seq4,32,1.990,0.789173
astropy-13398,C3,seq4,33,1.338,0.784924
astropy-13398,C3,seq4,34,0.973,0.781853
astropy-13398,C3,seq4,35,1.342,0.777639
astropy-13398,C3,seq4,36,1.068,0.774304
astropy-13398,C3,seq4,37,1.025,0.771119
astropy-13398,C3,seq4,38,1.200,0.817408
astropy-13398,C3,seq4,39,1.253,0.813266
astropy-13398,C3,seq4,40,1.391,0.808695
astropy-13398,C3,seq4,41,1.585,0.803522
astropy-13398,C3,seq4,42,1.170,0.799729
astropy-13398,C3,seq4,43,1.019,0.796441
astropy-13398,C3,seq4,44,0.988,0.793267
astropy-13398,C3,seq4,45,1.280,0.889180
astropy-13398,C3,seq4,46,1.780,0.882717
astropy-13398,C3,seq4,47,2.366,0.874207
astropy-13398,C3,seq4,48,1.277,0.869651
astropy-13398,C3,seq4,49,1.057,0.865900
astropy-13398,C3,seq4,50,1.441,0.860816
astropy-13398,C3,seq4,51,1.765,0.854636
astropy-13398,C3,seq4,52,1.652,0.848898
astropy-13398,C3,seq4,53,1.627,0.843290
astropy-13398,C3,seq4,54,2.288,0.835473
astropy-13398,C3,seq4,55,15.872,0.783462
astropy-13398,C4,seq4,0,0.000,0.100000
astropy-13398,C4,seq4,1,2.912,0.100000
astropy-13398,C4,seq4,2,1.958,0.100000
astropy-13398,C4,seq4,3,1.423,0.150000
astropy-13398,C4,seq4,4,1.963,0.149548
astropy-13398,C4,seq4,5,1.562,0.149192
astropy-13398,C4,seq4,6,1.499,0.148852
astropy-13398,C4,seq4,7,1.756,0.148458
astropy-13398,C4,seq4,8,1.833,0.198049
astropy-13398,C4,seq4,9,2.036,0.347131
astropy-13398,C4,seq4,10,2.320,0.344496
astropy-13398,C4,seq4,11,1.712,0.342570
astropy-13398,C4,seq4,12,1.491,0.440904
astropy-13398,C4,seq4,13,1.446,0.538633
astropy-13398,C4,seq4,14,1.873,0.635419
astropy-13398,C4,seq4,15,2.604,0.729971
astropy-13398,C4,seq4,16,3.461,0.821465
astropy-13398,C4,seq4,17,1.869,0.816188
astropy-13398,C4,seq4,18,1.547,0.811088
astropy-13398,C4,seq4,19,2.109,0.804192
astropy-13398,C4,seq4,20,2.582,0.795838
astropy-13398,C4,seq4,21,2.417,0.838110
astropy-13398,C4,seq4,22,2.380,0.830036
astropy-13398,C4,seq4,23,3.348,0.818830
astropy-13398,C4,seq4,24,23.222,0.745687
astropy-13398,C4,seq4,25,5.219,0.730300
astropy-13398,C4,seq4,26,5.282,0.715103
astropy-13398,C4,seq4,27,2.744,0.707353
astropy-13398,C4,seq4,28,2.321,0.700874
astropy-13398,C4,seq4,29,2.236,0.794697
astropy-13398,C4,seq4,30,3.164,0.784615
astropy-13398,C4,seq4,31,22.028,0.718358
astropy-13398,C4,seq4,32,2.912,0.710093
astropy-13398,C4,seq4,33,1.958,0.704598
astropy-13398,C4,seq4,34,1.423,0.700636
astropy-13398,C4,seq4,35,1.963,0.695211
astropy-13398,C4,seq4,36,1.562,0.690930
astropy-13398,C4,seq4,37,1.499,0.686851
astropy-13398,C4,seq4,38,1.756,0.732109
astropy-13398,C4,seq4,39,1.833,0.726776
astropy-13398,C4,seq4,40,2.036,0.720907
astropy-13398,C4,seq4,41,2.320,0.714288
astropy-13398,C4,seq4,42,1.712,0.709448
astropy-13398,C4,seq4,43,1.491,0.705263
astropy-13398,C4,seq4,44,1.446,0.701231
astropy-13398,C4,seq4,45,1.873,0.796052
astropy-13398,C4,seq4,46,2.604,0.787727
astropy-13398,C4,seq4,47,3.461,0.776815
astropy-13398,C4,seq4,48,1.869,0.770995
astropy-13398,C4,seq4,49,1.547,0.766216
astropy-13398,C4,seq4,50,2.109,0.759755
astropy-13398,C4,seq4,51,2.582,0.751929
astropy-13398,C4,seq4,52,2.417,0.744689
astropy-13398,C4,seq4,53,2.380,0.737637
astropy-13398,C4,seq4,54,3.348,0.727849
astropy-13398,C4,seq4,55,23.222,0.663963
